"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 27 13:18:54 UTC 2026","Fri Mar 27 13:19:06 UTC 2026","12372","","Login","","","","Validar erro ao tentar login sem preencher os campos",""
"passed","Fri Mar 27 13:19:15 UTC 2026","Fri Mar 27 13:19:25 UTC 2026","10798","","Navegação entre telas","","","","Verificar que todos os itens do menu inferior estão visíveis na tela inicial",""
"passed","Fri Mar 27 13:17:15 UTC 2026","Fri Mar 27 13:17:38 UTC 2026","22762","","Formulários","","","","Validar seleção de opção no dropdown e exibição do valor selecionado",""
"passed","Fri Mar 27 13:18:12 UTC 2026","Fri Mar 27 13:18:33 UTC 2026","21143","","Login","","","","Validar erro ao informar senha inválida",""
"passed","Fri Mar 27 13:17:50 UTC 2026","Fri Mar 27 13:18:12 UTC 2026","21763","","Login","","","","Verificar login com sucesso",""
"passed","Fri Mar 27 13:19:36 UTC 2026","Fri Mar 27 13:19:46 UTC 2026","10004","","Navegação entre telas","","","","Verificar navegação para a tela de Formulários via menu inferior",""
"passed","Fri Mar 27 13:15:58 UTC 2026","Fri Mar 27 13:16:24 UTC 2026","26345","","Formulários","","","","Verificar preenchimento do campo de texto e reflexo no resultado",""
"passed","Fri Mar 27 13:18:33 UTC 2026","Fri Mar 27 13:18:54 UTC 2026","20454","","Login","","","","Validar erro ao informar email incorreto",""
"passed","Fri Mar 27 13:16:41 UTC 2026","Fri Mar 27 13:16:58 UTC 2026","16524","","Formulários","","","","Validar alternância do switch de inativo para ativo",""
"passed","Fri Mar 27 13:19:25 UTC 2026","Fri Mar 27 13:19:36 UTC 2026","10440","","Navegação entre telas","","","","Verificar navegação para a tela de Login via menu inferior",""
"passed","Fri Mar 27 13:16:58 UTC 2026","Fri Mar 27 13:17:15 UTC 2026","17365","","Formulários","","","","Validar alternância do switch de ativo para inativo",""
"passed","Fri Mar 27 13:16:24 UTC 2026","Fri Mar 27 13:16:41 UTC 2026","17495","","Formulários","","","","Validar que campo de texto aceita entrada vazia sem erro",""
